Wall time,Step,Value
1685331204.3359816,249149,120.0
1685331207.7680042,249249,120.0
1685331219.8504322,249599,120.0
1685331224.9987793,249749,120.0
1685331305.5089176,250399,121.0
1685331312.3295548,250599,121.0
1685331353.471319,251799,121.0
1685331370.3917193,251979,121.0
1685331426.8496616,252299,122.0
1685331463.2225866,253349,122.0
1685331475.2367647,253699,122.0
1685331545.037765,254149,123.0
1685331550.2224996,254299,123.0
1685331569.2574193,254849,123.0
1685331570.9897368,254899,123.0
1685331586.5319772,255349,123.0
1685331596.7995727,255649,123.0
1685331600.2305074,255749,123.0
1685331666.6376677,255999,124.0
1685331709.8791192,257249,124.0
1685331713.3090332,257349,124.0
1685331784.1939995,257849,125.0
1685331803.0357432,258399,125.0
1685331806.4527888,258499,125.0
1685331820.2437449,258899,125.0
1685331909.8045042,259849,126.0
1685331916.6977663,260049,126.0
1685331928.7609873,260399,126.0
1685331951.2948654,261049,126.0
1685331978.892285,261534,126.0
1685332036.9457796,261849,127.0
1685332043.8851578,262049,127.0
1685332089.0877228,263349,127.0
1685332157.8445582,263649,128.0
1685332163.0429015,263799,128.0
1685332187.140356,264499,128.0
1685332195.824528,264749,128.0
1685332293.1554782,265949,129.0
1685332301.744264,266199,129.0
1685332319.0044203,266699,129.0
1685332324.7346587,266849,129.0
1685332333.3231974,267099,129.0
1685332340.2274985,267299,129.0
1685332449.7111278,268649,130.0
1685332562.7289674,270149,131.0
1685332568.0317168,270299,131.0
1685332609.6048017,271499,131.0
1685332618.2389898,271749,131.0
1685332619.9821916,271799,131.0
1685332732.4061558,273199,132.0
1685332755.1316419,273849,132.0
1685332836.6327538,274449,133.0
1685332858.925245,275099,133.0
1685332874.742965,275549,133.0
1685332879.9240506,275699,133.0
1685332883.3688223,275799,133.0
1685332885.092911,275849,133.0
1685332914.3428109,276374,133.0
1685332968.9857514,276449,134.0
1685332985.0770085,276899,134.0
1685332990.2977982,277049,134.0
1685333014.55246,277749,134.0
1685333109.2255578,278799,135.0
1685333128.1610112,279349,135.0
1685333226.330068,280599,136.0
1685333243.5452907,281099,136.0
1685333260.868198,281599,136.0
1685333262.5964353,281649,136.0
1685333266.0719938,281749,136.0
1685333394.1920414,283299,137.0
1685333404.9553466,283599,137.0
1685333429.364485,284299,137.0
1685333451.788136,284949,137.0
1685333552.8620133,285949,138.0
1685333572.077616,286499,138.0
1685333588.3030164,286949,138.0
1685333619.8400495,287539,138.0
1685333806.7339427,289849,140.0
1685333808.4662194,289899,140.0
1685333817.1177344,290149,140.0
1685333838.4288502,290749,140.0
1685333848.844431,291049,140.0
1685333852.3007348,291149,140.0
1685333938.454404,291799,141.0
1685333973.798658,292799,141.0
1685333994.600876,293399,141.0
1685334068.311335,293699,142.0
1685334076.970117,293949,142.0
1685334080.4355466,294049,142.0
1685334083.8950036,294149,142.0
1685334122.541531,295249,142.0
1685334216.9155457,296199,143.0
